Sample Index,Warnings,Timeline,Prediction
10447,Hardness: 186.713329 < 300; Conductivity: 473.5316111 < 800; Trihalomethanes: 43.28047646 < 80; Turbidity: 4.305513625 < 5,2019-Jan,Recyclable
10228,Hardness: 239.7465822 < 300; Conductivity: 484.5188721 < 800; Trihalomethanes: 49.62971774 < 80; Turbidity: 4.609155132 < 5,2019-Jan,Recyclable
10371,ph: 4.968142373 < 6.5; Hardness: 233.0137292 < 300; Conductivity: 438.1946472 < 800; Trihalomethanes: 54.9800096 < 80,2019-Jan,Recyclable
10266,Hardness: 175.7626463 < 300; Conductivity: 432.044783 < 800; Trihalomethanes: 69.84540029 < 80; Turbidity: 3.298875499 < 5,2019-Jan,Recyclable
10254,Hardness: 195.0287168 < 300; Conductivity: 534.1669972 < 800; Trihalomethanes: 38.36806809 < 80; Turbidity: 3.544751521 < 5,2019-Jan,Recyclable
10052,ph: 6.323942073 < 6.5; Hardness: 185.9924106 < 300; Conductivity: 401.3048946 < 800; Trihalomethanes: 60.47403118 < 80; Turbidity: 3.575010576 < 5,2019-Feb,Recyclable
10423,Hardness: 179.7999166 < 300; Conductivity: 590.0605459 < 800; Turbidity: 4.165549906 < 5,2019-Feb,Recyclable
10129,Hardness: 195.2234131 < 300; Conductivity: 348.2372406 < 800; Trihalomethanes: 63.51294583 < 80; Turbidity: 3.428258907 < 5,2019-Feb,Recyclable
10026,Hardness: 218.2611698 < 300; Conductivity: 518.3755726 < 800; Trihalomethanes: 56.71102421 < 80; Turbidity: 4.262065437 < 5,2019-Feb,Recyclable
10258,Hardness: 209.2173441 < 300; Conductivity: 408.8535622 < 800; Trihalomethanes: 70.2052406 < 80; Turbidity: 4.96467264 < 5,2019-Feb,Recyclable
10469,Hardness: 198.6713726 < 300; Conductivity: 383.4096419 < 800; Trihalomethanes: 47.96904656 < 80; Turbidity: 3.99072355 < 5,2019-Mar,Recyclable
10350,Hardness: 184.7860379 < 300; Conductivity: 530.2483872 < 800; Trihalomethanes: 70.9575654 < 80; Turbidity: 3.077034893 < 5,2019-Mar,Recyclable
10000,Hardness: 216.4538048 < 300; Conductivity: 468.01845 < 800; Trihalomethanes: 63.18326206 < 80; Turbidity: 4.310624625 < 5,2019-Mar,Recyclable
10374,Hardness: 161.0536302 < 300; Conductivity: 343.7486919 < 800; Trihalomethanes: 75.87929652 < 80; Turbidity: 4.320216148 < 5,2019-Mar,Recyclable
10431,Hardness: 154.8621984 < 300; Conductivity: 462.9537968 < 800; Turbidity: 3.4649977 < 5,2019-Mar,Recyclable
10346,Hardness: 281.5942349 < 300; Conductivity: 422.3182271 < 800; Trihalomethanes: 64.0705476 < 80; Turbidity: 2.959684621 < 5,2019-Mar,Recyclable
10342,Hardness: 250.4195546 < 300; Chloramines: 2.39798499 < 4; Conductivity: 339.3447401 < 800; Trihalomethanes: 59.99077027 < 80; Turbidity: 3.377450524 < 5,2019-Mar,Recyclable
10451,Hardness: 179.6979186 < 300; Conductivity: 327.7163276 < 800; Trihalomethanes: 66.17982305 < 80; Turbidity: 3.65570253 < 5,2019-Apr,Recyclable
10427,ph: 5.772718095 < 6.5; Hardness: 213.3635446 < 300; Conductivity: 465.5592858 < 800; Trihalomethanes: 59.96433443 < 80,2019-Apr,Recyclable
10391,ph: 5.262162006 < 6.5; Hardness: 264.1512653 < 300; Conductivity: 436.3204232 < 800; Trihalomethanes: 51.40024674 < 80,2019-Apr,Recyclable
10102,ph: 3.541562937 < 6.5; Conductivity: 514.267107 < 800; Trihalomethanes: 71.54366432 < 80; Turbidity: 4.212475461 < 5,2019-Apr,Recyclable
10394,Hardness: 167.088976 < 300; Conductivity: 335.1976082 < 800; Trihalomethanes: 50.64244747 < 80,2019-Apr,Recyclable
10015,ph: 5.117390303 < 6.5; Hardness: 225.6574044 < 300; Conductivity: 356.8622871 < 800; Trihalomethanes: 77.38813808 < 80; Turbidity: 3.937188442 < 5,2019-May,Recyclable
10144,Hardness: 219.3645184 < 300; Conductivity: 492.893126 < 800; Trihalomethanes: 70.18607573 < 80; Turbidity: 2.716094607 < 5,2019-May,Recyclable
10459,Hardness: 231.1598241 < 300; Conductivity: 392.5169018 < 800; Turbidity: 3.30829418 < 5,2019-May,Recyclable
10326,ph: 4.312261076 < 6.5; Hardness: 249.9713922 < 300; Conductivity: 410.6632147 < 800; Trihalomethanes: 79.03864891 < 80; Turbidity: 2.731631355 < 5,2019-Jun,Recyclable
10051,Hardness: 225.3919134 < 300; Conductivity: 386.6322867 < 800; Trihalomethanes: 59.40511132 < 80; Turbidity: 3.630495134 < 5,2019-Jun,Recyclable
10093,Hardness: 188.7174238 < 300; Conductivity: 388.3070054 < 800; Trihalomethanes: 78.38869326 < 80; Turbidity: 2.869916452 < 5,2019-Jun,Recyclable
10151,Hardness: 210.7207687 < 300; Conductivity: 375.6726908 < 800; Trihalomethanes: 43.2998201 < 80,2019-Jun,Recyclable
10277,Hardness: 232.3324351 < 300; Chloramines: 0.337948177 < 4; Sulfate: 238.6465039 < 250; Conductivity: 454.4919566 < 800; Trihalomethanes: 55.88948822 < 80; Turbidity: 4.811167967 < 5,2019-Jun,Recyclable
10381,Hardness: 202.1000333 < 300; Conductivity: 315.148323 < 800; Trihalomethanes: 76.90278257 < 80; Turbidity: 3.380413551 < 5,2019-Jul,Recyclable
10412,Hardness: 174.7862486 < 300; Conductivity: 302.6547009 < 800; Turbidity: 2.388390495 < 5,2019-Jul,Recyclable
10061,Hardness: 186.9868694 < 300; Conductivity: 405.2769119 < 800; Trihalomethanes: 62.15231453 < 80; Turbidity: 3.813556321 < 5,2019-Jul,Recyclable
10169,ph: 5.757088957 < 6.5; Hardness: 148.9891464 < 300; Conductivity: 407.7417133 < 800; Trihalomethanes: 42.21884487 < 80; Turbidity: 3.730185467 < 5,2019-Jul,Recyclable
10199,Hardness: 237.4971525 < 300; Conductivity: 478.8936157 < 800; Trihalomethanes: 53.67147849 < 80; Turbidity: 2.826111941 < 5,2019-Jul,Recyclable
10037,Hardness: 125.1233195 < 300; Conductivity: 398.4056401 < 800; Trihalomethanes: 63.11531121 < 80; Turbidity: 3.81625642 < 5,2019-Jul,Recyclable
10415,ph: 3.619851326 < 6.5; Hardness: 244.5376745 < 300; Conductivity: 441.6018201 < 800; Trihalomethanes: 59.21252066 < 80; Turbidity: 4.655534169 < 5,2019-Jul,Recyclable
